x,cancer_type,y
-25.651093,TCGA-OV,5.756271
-23.690828,TCGA-OV,0.8573411
-20.65629,TCGA-OV,13.242363
-22.842407,TCGA-OV,19.771246
-25.559443,TCGA-OV,-4.4574704
-32.39471,TCGA-OV,3.9761019
-23.90393,TCGA-OV,34.204853
-19.795446,TCGA-OV,-1.7778593
-31.942007,TCGA-OV,6.1948075
-23.704697,TCGA-OV,31.49892
-24.126589,TCGA-OV,32.784958
-29.774485,TCGA-OV,1.3912193
-22.500683,TCGA-OV,-3.1941931
-29.147055,TCGA-OV,14.167224
-21.669197,TCGA-OV,-3.3515332
-24.04874,TCGA-OV,-4.0678163
-23.393103,TCGA-OV,32.179405
-22.19789,TCGA-OV,34.461082
-23.589367,TCGA-OV,33.535343
-18.055693,TCGA-OV,-8.644353
-10.854239,TCGA-OV,-16.048876
-16.185535,TCGA-OV,10.882026
-28.510687,TCGA-OV,16.00701
-23.30568,TCGA-OV,34.043877
-18.91683,TCGA-OV,-2.1020088
-22.040989,TCGA-OV,33.579643
-24.465631,TCGA-OV,6.559087
-17.725435,TCGA-OV,7.9758797
-29.592396,TCGA-OV,15.7421875
-15.096609,TCGA-OV,-18.96748
-26.81535,TCGA-OV,11.006242
5.0958767,TCGA-OV,-36.7716
-28.13,TCGA-OV,13.044672
-20.407904,TCGA-OV,-4.2154202
-8.3229265,TCGA-OV,-13.745427
-28.515879,TCGA-OV,-1.5626043
1.1979706,TCGA-OV,-18.543163
-28.753462,TCGA-OV,14.521296
-22.515648,TCGA-OV,33.855495
-26.121426,TCGA-OV,11.843746
-26.409143,TCGA-OV,21.36486
-27.98355,TCGA-OV,8.121002
-25.723812,TCGA-OV,1.167427
-8.411596,TCGA-OV,-13.734529
-18.646992,TCGA-OV,-5.9571843
-24.866192,TCGA-OV,20.913252
-25.42385,TCGA-OV,1.2492299
-29.179876,TCGA-OV,12.426432
-26.564245,TCGA-OV,4.828626
-24.988905,TCGA-OV,5.0403256
-19.745588,TCGA-OV,-4.589685
-28.846441,TCGA-OV,10.265689
-29.583452,TCGA-OV,14.962412
-25.17483,TCGA-OV,16.759472
-22.11187,TCGA-OV,-4.47346
-24.088612,TCGA-OV,6.8237214
-21.718386,TCGA-OV,-4.0764313
-27.662779,TCGA-OV,19.741343
-24.638502,TCGA-OV,-3.9304907
-24.181713,TCGA-OV,-0.8331725
-22.118296,TCGA-OV,-0.544401
-21.583057,TCGA-OV,-0.96896696
-22.258747,TCGA-OV,-3.7510626
-22.742668,TCGA-OV,33.907352
-24.241331,TCGA-OV,32.338634
-12.602899,TCGA-OV,-19.637514
-22.688353,TCGA-OV,32.815517
-22.898315,TCGA-OV,34.42625
-21.717333,TCGA-OV,-5.4038057
-28.190897,TCGA-OV,7.442002
-25.687475,TCGA-OV,30.34345
-23.122728,TCGA-OV,33.02351
-17.821465,TCGA-OV,-16.370865
-15.198802,TCGA-OV,-4.2338986
-30.169277,TCGA-OV,7.954247
-23.249222,TCGA-OV,-0.04806275
-30.361471,TCGA-OV,10.703623
-26.155893,TCGA-OV,2.8989377
-25.182468,TCGA-OV,22.219082
-16.690983,TCGA-OV,-5.9624662
-30.87504,TCGA-OV,6.5516768
-21.85632,TCGA-OV,-6.5587873
-29.320297,TCGA-OV,14.873249
-14.545012,TCGA-OV,-18.286766
-23.77237,TCGA-OV,-1.6091764
-23.091698,TCGA-OV,-2.6844203
-27.5786,TCGA-OV,-1.8236214
-32.371494,TCGA-OV,4.5721836
-26.063297,TCGA-OV,6.5549603
-28.411314,TCGA-OV,7.8940945
-25.836744,TCGA-OV,11.086307
-27.018267,TCGA-OV,21.972763
-32.029926,TCGA-OV,5.37479
-31.004593,TCGA-OV,6.1405416
-28.982084,TCGA-OV,9.124875
-26.743883,TCGA-OV,20.986889
-27.961952,TCGA-OV,11.068592
-26.955141,TCGA-OV,6.839132
-26.539072,TCGA-OV,3.652335
-25.443733,TCGA-OV,5.3816304
-28.043867,TCGA-OV,-0.59705776
-29.729445,TCGA-OV,3.4798772
-29.14719,TCGA-OV,13.826665
-30.076664,TCGA-OV,9.471592
-26.188875,TCGA-OV,5.862221
-23.768879,TCGA-OV,-4.2761984
-27.16228,TCGA-OV,20.147686
-28.746214,TCGA-OV,-2.4525104
