x,cancer_type,y
-31.467056,TCGA-OV,4.8438663
-31.916178,TCGA-OV,5.20207
-31.80792,TCGA-OV,6.3173037
-28.506878,TCGA-OV,3.6556008
-30.328066,TCGA-OV,7.9514236
-11.949124,TCGA-OV,17.232924
-29.014404,TCGA-OV,8.686697
-27.33436,TCGA-OV,3.5047247
-27.8866,TCGA-OV,2.745645
-33.33139,TCGA-OV,-5.577888
-16.858255,TCGA-OV,21.408503
-20.92955,TCGA-OV,-2.5892606
-9.73922,TCGA-OV,27.08839
-31.195324,TCGA-OV,7.6808443
-31.474949,TCGA-OV,6.630748
-30.854147,TCGA-OV,8.003072
-11.107272,TCGA-OV,20.284178
-30.761272,TCGA-OV,6.410975
-29.4427,TCGA-OV,5.9245195
-28.78287,TCGA-OV,5.4596786
-16.524189,TCGA-OV,35.304466
-25.582277,TCGA-OV,8.629826
-28.518589,TCGA-OV,6.4095197
-23.273695,TCGA-OV,26.665676
-25.524218,TCGA-OV,8.679618
-25.788774,TCGA-OV,8.435578
-39.19104,TCGA-OV,-2.34595
-38.215797,TCGA-OV,-4.236232
-38.14452,TCGA-OV,-3.6253572
-37.752502,TCGA-OV,-3.400911
-37.46299,TCGA-OV,-3.843287
-35.654984,TCGA-OV,-1.8915458
-38.756737,TCGA-OV,1.4950674
-36.817253,TCGA-OV,-3.4634168
-36.36307,TCGA-OV,-0.77113605
-36.087807,TCGA-OV,0.40676376
-39.860466,TCGA-OV,-0.20565872
-36.826942,TCGA-OV,-2.0169582
-36.16218,TCGA-OV,-5.3742476
-33.447945,TCGA-OV,-2.2773387
-34.034023,TCGA-OV,-2.587668
-34.375065,TCGA-OV,0.46344128
-34.573994,TCGA-OV,-3.909297
-33.856026,TCGA-OV,-0.39046738
-33.87784,TCGA-OV,-1.2670745
-32.84248,TCGA-OV,-2.8021076
-36.606647,TCGA-OV,-5.1431375
-37.0227,TCGA-OV,0.57048416
-37.143,TCGA-OV,-1.1728988
-38.709793,TCGA-OV,-1.0490355
-38.605465,TCGA-OV,-1.3907257
-38.965324,TCGA-OV,0.30925202
-37.491753,TCGA-OV,0.3598115
-38.143864,TCGA-OV,-0.5650606
-37.644753,TCGA-OV,-1.0968677
-40.613495,TCGA-OV,-1.7364913
-36.605984,TCGA-OV,-1.2660267
-36.945457,TCGA-OV,-0.39753437
-37.69789,TCGA-OV,-2.334071
-37.344982,TCGA-OV,-0.32376975
-36.526886,TCGA-OV,0.08661906
-35.760635,TCGA-OV,-0.38116232
-38.143013,TCGA-OV,0.25849116
-36.44107,TCGA-OV,2.2516513
33.612995,TCGA-OV,-19.695955
-36.39119,TCGA-OV,1.1161058
-37.724342,TCGA-OV,2.8081865
-37.417175,TCGA-OV,1.6557606
-32.20718,TCGA-OV,-2.1504045
-8.828227,TCGA-OV,9.912573
-7.244017,TCGA-OV,33.55356
-28.606403,TCGA-OV,4.2159233
-32.077915,TCGA-OV,-0.006549482
-29.761389,TCGA-OV,-2.83284
-29.219936,TCGA-OV,3.331138
-28.23643,TCGA-OV,-4.4792676
-28.60576,TCGA-OV,8.599899
-32.240093,TCGA-OV,2.230236
-31.192196,TCGA-OV,-0.28311563
-31.015625,TCGA-OV,0.6676624
-31.079594,TCGA-OV,4.186316
-38.304302,TCGA-OV,-10.753199
-36.2685,TCGA-OV,-12.246913
-34.827534,TCGA-OV,-9.586273
-37.469604,TCGA-OV,-11.142471
-39.52049,TCGA-OV,-9.919806
-39.100082,TCGA-OV,-10.716391
-35.764214,TCGA-OV,-12.58
-37.580856,TCGA-OV,-11.188791
-41.297432,TCGA-OV,-10.936436
-39.1086,TCGA-OV,-10.497114
-35.561497,TCGA-OV,-11.870639
-36.87925,TCGA-OV,-12.446715
-37.271313,TCGA-OV,-12.467503
-27.04792,TCGA-OV,-14.421266
-38.083977,TCGA-OV,-9.191586
-36.838917,TCGA-OV,-8.811431
-38.057945,TCGA-OV,-8.153698
-25.23695,TCGA-OV,-13.082719
-38.26015,TCGA-OV,-9.203125
-38.89247,TCGA-OV,-9.318303
-36.38384,TCGA-OV,-9.233315
-36.79383,TCGA-OV,-13.563126
-35.086205,TCGA-OV,-12.028875
-27.74454,TCGA-OV,-14.750562
-27.548317,TCGA-OV,-14.749009
-35.668327,TCGA-OV,-10.826107
-37.33381,TCGA-OV,-10.234738
-36.045124,TCGA-OV,-10.393836
-36.420937,TCGA-OV,-10.537227
-37.067043,TCGA-OV,-10.448373
-41.295403,TCGA-OV,-10.942417
-29.374931,TCGA-OV,3.288154
3.425856,TCGA-LUSC,23.28452
-3.9200783,TCGA-LUSC,31.688885
-26.210846,TCGA-LUSC,-0.28716686
-29.06243,TCGA-LUSC,-6.888701
-26.190464,TCGA-LUSC,-0.28091693
-27.130682,TCGA-LUSC,-0.042065367
-27.338583,TCGA-LUSC,-0.0038239516
-15.925859,TCGA-LUSC,1.9172996
-1.3676099,TCGA-LUSC,-7.7785788
-12.523662,TCGA-LUSC,-4.960895
7.996407,TCGA-LUSC,22.04722
6.612108,TCGA-LUSC,21.873726
6.362353,TCGA-LUSC,21.713493
21.400394,TCGA-LUSC,-13.730875
-1.5195105,TCGA-LUAD,26.65391
-0.32361525,TCGA-LUAD,27.947945
8.338676,TCGA-LUAD,24.35953
2.0675576,TCGA-LUAD,22.813915
4.8381476,TCGA-LUAD,4.2984824
1.7565776,TCGA-LUAD,-16.519083
26.851183,TCGA-BLCA,-19.088148
19.172094,TCGA-BLCA,-23.861506
20.349344,TCGA-BLCA,-24.749088
