x,cancer_type,y
1.8820256,TCGA-OV,27.361883
2.0500576,TCGA-OV,26.682875
-5.13577,TCGA-OV,22.336487
27.75802,TCGA-OV,-0.37450114
3.411315,TCGA-OV,25.164783
17.472776,TCGA-OV,19.9582
13.876921,TCGA-OV,20.503325
25.782242,TCGA-OV,-0.69466734
42.65098,TCGA-OV,2.5202894
5.566363,TCGA-OV,13.58806
0.83728635,TCGA-OV,24.40323
-0.64397144,TCGA-OV,23.688131
27.941221,TCGA-OV,18.438168
1.7573725,TCGA-OV,24.200129
3.0339336,TCGA-OV,25.442144
12.722111,TCGA-OV,20.081667
14.764336,TCGA-OV,21.423292
5.4871225,TCGA-OV,18.931608
31.591644,TCGA-OV,13.366358
31.060606,TCGA-OV,12.110778
12.23015,TCGA-OV,1.7999599
30.069149,TCGA-OV,19.042397
11.817608,TCGA-OV,2.4637403
40.077244,TCGA-OV,-5.9975505
29.73823,TCGA-OV,19.245579
30.263412,TCGA-OV,18.899548
-50.132538,TCGA-OV,-24.043446
-49.724266,TCGA-OV,-21.814648
-50.27854,TCGA-OV,-22.591997
-49.797066,TCGA-OV,-21.282436
-48.62494,TCGA-OV,-21.340649
-43.340324,TCGA-OV,-18.900253
-46.375786,TCGA-OV,-16.182594
-50.10213,TCGA-OV,-20.1674
-44.417572,TCGA-OV,-21.560219
-42.54563,TCGA-OV,-23.956392
-44.179314,TCGA-OV,-26.9183
-48.646217,TCGA-OV,-20.340216
-43.418407,TCGA-OV,-15.739557
-43.135376,TCGA-OV,-17.937813
-43.519577,TCGA-OV,-15.522699
-45.172832,TCGA-OV,-29.03464
-49.04426,TCGA-OV,-20.029713
-45.827652,TCGA-OV,-28.309845
-45.90471,TCGA-OV,-22.336748
-33.954044,TCGA-OV,-9.636747
-42.673565,TCGA-OV,-21.920395
-42.641876,TCGA-OV,-20.145084
-47.006847,TCGA-OV,-20.288113
-48.52381,TCGA-OV,-27.579412
-48.823925,TCGA-OV,-27.512075
-50.01859,TCGA-OV,-26.746742
-43.608047,TCGA-OV,-25.325922
-47.261696,TCGA-OV,-24.471216
-43.981255,TCGA-OV,-23.26183
-49.245556,TCGA-OV,-23.976917
-46.638126,TCGA-OV,-21.187727
-46.688004,TCGA-OV,-22.48688
-48.663,TCGA-OV,-22.94552
-47.689575,TCGA-OV,-21.822424
-42.01349,TCGA-OV,-17.216873
-44.55334,TCGA-OV,-25.624424
-50.320847,TCGA-OV,-27.087185
-45.8262,TCGA-OV,-24.928106
-47.385117,TCGA-OV,-28.749374
-45.099834,TCGA-OV,-25.234869
-43.92161,TCGA-OV,-28.20084
-43.808865,TCGA-OV,-19.583282
-32.23094,TCGA-OV,-17.123423
-34.994328,TCGA-OV,-0.6177602
24.10384,TCGA-OV,0.43872082
23.847445,TCGA-OV,0.45229658
32.461933,TCGA-OV,-15.129284
-29.66114,TCGA-OV,6.0335164
28.554981,TCGA-OV,1.5155041
-33.039463,TCGA-OV,-1.0437648
19.704836,TCGA-OV,15.499087
-10.416774,TCGA-OV,-4.5505247
-29.254362,TCGA-OV,7.522197
29.439125,TCGA-OV,-6.335921
-0.43114537,TCGA-OV,19.421001
-46.51563,TCGA-OV,-24.09027
-44.903725,TCGA-OV,-24.00903
