x,cancer_type,y
8.653608,TCGA-OV,19.0296
38.591602,TCGA-OV,-4.6963215
10.236357,TCGA-OV,-28.53463
8.807408,TCGA-OV,18.431713
46.21351,TCGA-OV,-0.863688
41.621685,TCGA-OV,-8.05463
-1.1779677,TCGA-OV,5.238887
39.964386,TCGA-OV,-2.0711174
6.4490366,TCGA-OV,-25.285788
52.246563,TCGA-OV,6.6793737
13.517268,TCGA-OV,-13.861514
47.41714,TCGA-OV,-0.7454763
8.355523,TCGA-OV,18.514206
7.305029,TCGA-OV,-24.93358
19.701118,TCGA-OV,-2.2125509
8.750487,TCGA-OV,-24.837494
-26.772528,TCGA-OV,-6.205229
-15.391024,TCGA-OV,-12.211981
8.7486315,TCGA-OV,18.976873
9.506685,TCGA-OV,20.15744
20.107836,TCGA-OV,-4.5980015
23.027092,TCGA-OV,-10.90838
9.635457,TCGA-OV,19.023676
-14.8738575,TCGA-OV,-16.151876
6.9617133,TCGA-OV,18.991344
6.733135,TCGA-OV,19.066933
47.26224,TCGA-OV,-1.7528609
11.308586,TCGA-OV,-26.150524
8.766245,TCGA-OV,-29.119238
39.283978,TCGA-OV,-2.8190918
46.527138,TCGA-OV,-1.709894
10.869177,TCGA-OV,-20.935484
14.8515625,TCGA-OV,-5.1256723
7.4961085,TCGA-OV,-26.290613
-17.241129,TCGA-OV,-13.510037
-27.954695,TCGA-OV,-9.614666
7.7735767,TCGA-OV,-25.924185
46.11847,TCGA-OV,-4.608347
-2.0291817,TCGA-OV,6.9506054
34.329163,TCGA-OV,-12.861145
45.74133,TCGA-OV,-2.3003485
36.34818,TCGA-OV,-7.6610947
53.0925,TCGA-OV,3.4539173
23.233938,TCGA-OV,-2.2571316
-2.4681954,TCGA-OV,4.367208
17.587917,TCGA-OV,-5.619769
25.442019,TCGA-OV,1.3495027
13.962289,TCGA-OV,-15.434188
8.000175,TCGA-OV,-22.27322
1.4103148,TCGA-OV,4.6584706
42.384266,TCGA-OV,-5.96769
20.470917,TCGA-OV,-15.718269
41.131905,TCGA-OV,-2.5589833
7.8809466,TCGA-OV,-29.688593
44.254177,TCGA-OV,-5.662082
45.243496,TCGA-OV,-2.9925144
10.906433,TCGA-OV,-23.137978
20.513998,TCGA-OV,-15.190599
7.7197447,TCGA-OV,-29.35224
19.060797,TCGA-OV,-0.07975628
10.013032,TCGA-OV,-26.261066
43.392876,TCGA-OV,-2.327995
10.286144,TCGA-OV,-20.972996
7.155887,TCGA-OV,-25.926992
12.945165,TCGA-OV,-24.40054
7.3539705,TCGA-OV,-22.027388
9.85553,TCGA-OV,-27.541243
41.066063,TCGA-OV,-6.6447415
46.62239,TCGA-OV,3.0989451
7.3544335,TCGA-OV,18.64638
-32.133236,TCGA-OV,-2.6098716
-32.746033,TCGA-OV,-4.8729157
34.518944,TCGA-OV,5.975003
46.421204,TCGA-OV,3.5775094
41.808315,TCGA-OV,6.9537163
56.1885,TCGA-OV,5.6448703
22.07051,TCGA-OV,-24.086657
37.552116,TCGA-OV,5.4317822
-15.009596,TCGA-OV,-13.101453
-9.309286,TCGA-OV,-11.620931
-16.877934,TCGA-OV,11.558283
17.546644,TCGA-OV,-19.55387
43.37592,TCGA-OV,-6.297875
-8.982662,TCGA-OV,-10.674671
9.512941,TCGA-OV,-21.456469
21.626087,TCGA-OV,-3.7619972
35.43826,TCGA-OV,-12.62716
43.03021,TCGA-OV,-4.890357
31.47282,TCGA-OV,-9.193202
44.306396,TCGA-OV,-5.139589
8.393275,TCGA-OV,-29.99356
8.949258,TCGA-OV,-28.549591
42.843266,TCGA-OV,-6.5386567
8.28551,TCGA-OV,-27.136158
54.03133,TCGA-OV,10.822501
17.19129,TCGA-OV,-5.936833
36.8839,TCGA-OV,-6.6152344
53.088444,TCGA-OV,3.4515388
53.3026,TCGA-OV,12.289128
23.882936,TCGA-OV,0.8961662
18.454954,TCGA-OV,-3.6973023
20.796486,TCGA-OV,-2.0916743
19.697317,TCGA-OV,-7.237031
15.91689,TCGA-OV,-5.5377564
54.516464,TCGA-OV,9.75737
54.23404,TCGA-OV,10.1395
40.564957,TCGA-OV,-7.761195
8.740936,TCGA-OV,-27.9649
9.463227,TCGA-OV,-30.018044
37.918262,TCGA-OV,-6.6150393
35.029667,TCGA-OV,-6.7217593
-13.614585,TCGA-OV,-11.856413
41.452797,TCGA-OV,7.070702
-7.3035583,TCGA-LUSC,-5.085046
31.714926,TCGA-LUSC,7.0992737
4.0516715,TCGA-LUSC,19.028187
34.14108,TCGA-LUSC,-17.310974
25.37389,TCGA-LUSC,-16.197508
25.630274,TCGA-LUSC,-16.03771
-31.698446,TCGA-LUSC,-7.514387
21.083261,TCGA-LUSC,-13.8199835
-24.02347,TCGA-LUSC,-5.559494
-8.44919,TCGA-LUSC,-5.385342
-30.046492,TCGA-LUSC,-6.9701576
-30.271696,TCGA-LUSC,-5.183609
-30.39538,TCGA-LUSC,-3.692143
-8.255104,TCGA-LUSC,-9.66702
22.274776,TCGA-LUAD,-12.302277
-14.627995,TCGA-LUAD,-12.353413
-17.005426,TCGA-LUAD,-14.11552
-15.15842,TCGA-LUAD,-14.623574
